## 表1：每只基金 → 穿透重仓个股的占用资金 & 今日盈亏

### 中欧新蓝筹A（166002）估算规模=8.7万 股票账户=6.6万 估算涨跌=-0.47% 今日盈亏=-120.67元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|

**基金层面汇总：整体股票账户总占用 41.8万 今日合计盈亏 +2068.24元**

---
## 表2：穿透个股 → 在整体基金组合中的总占用资金 & 今日盈亏

| 个股 | 代码 | 涉及基金数 | 总占用资金(元) | 今日涨跌 | 合计盈亏(元) |

|------|------|-----------|------------|---------|---------|
| 天孚通信 | 300394 | 1只 | 3344 | +7.40% | +247.46 |
| 北方华创 | 002371 | 1只 | 8932 | +2.77% | +247.41 |
| 兴森科技 | 002436 | 1只 | 2901 | +7.58% | +219.89 |
| 宁德时代 | 300750 | 2只 | 3718 | +4.81% | +178.84 |
| 立讯精密 | 002475 | 2只 | 9291 | +1.88% | +174.67 |
| 沪电股份 | 002463 | 1只 | 5487 | +2.76% | +151.43 |
| 国网信通 | 600131 | 1只 | 4045 | +3.15% | +127.41 |
| 保利发展 | 600048 | 1只 | 5820 | +2.12% | +123.39 |
| 招商蛇口 | 001979 | 1只 | 3386 | +3.45% | +116.82 |
| 宁波华翔 | 002048 | 1只 | 2530 | +3.73% | +94.36 |
| 广立微 | 301095 | 1只 | 1948 | +3.32% | +64.68 |
| 紫金矿业 | 601899 | 4只 | 5818 | +1.11% | +64.58 |
| 顺络电子 | 002138 | 1只 | 6232 | +0.47% | +29.29 |
| 中际旭创 | 300308 | 2只 | 7749 | +0.28% | +21.70 |
| 太阳纸业 | 002078 | 1只 | 3268 | +0.54% | +17.65 |
| 亿联网络 | 300628 | 1只 | 2634 | +0.63% | +16.59 |
| 通策医疗 | 600763 | 2只 | 1440 | +0.62% | +8.93 |
| 迈瑞医疗 | 300760 | 1只 | 234 | +2.19% | +5.13 |
| 巨星农牧 | 603477 | 1只 | 1872 | +0.27% | +5.06 |
| 中国移动 | 00941 | 3只 | 5522 | +0.00% | +0.00 |
| 成都银行 | 601838 | 1只 | 3124 | +0.00% | +0.00 |
| 海信视像 | 600060 | 1只 | 3005 | +0.00% | +0.00 |
| 纽威股份 | 603699 | 1只 | 2707 | +0.00% | +0.00 |
| 柳工 | 000528 | 1只 | 2450 | +0.00% | +0.00 |
| 中国海洋石油 | 00883 | 4只 | 5558 | +0.00% | +0.00 |
| 海信家电 | 000921 | 1只 | 2321 | +0.00% | +0.00 |
| 中国石油股份 | 00857 | 1只 | 2033 | +0.00% | +0.00 |
| 腾讯控股 | 00700 | 3只 | 2930 | +0.00% | +0.00 |
| 汇丰控股 | 00005 | 1只 | 1494 | +0.00% | +0.00 |
| 中国广核 | 003816 | 1只 | 893 | +0.00% | +0.00 |
| 中国神华 | 01088 | 1只 | 819 | +0.00% | +0.00 |
| 工商银行 | 601398 | 1只 | 712 | +0.00% | +0.00 |
| 瑞尔特 | 002790 | 1只 | 1360 | +0.00% | +0.00 |
| 江山欧派 | 603208 | 1只 | 1183 | +0.00% | +0.00 |
| 索菲亚 | 002572 | 1只 | 1117 | +0.00% | +0.00 |
| 报喜鸟 | 002154 | 1只 | 1095 | +0.00% | +0.00 |
| 华铁应急 | 603300 | 1只 | 1082 | +0.00% | +0.00 |
